"","Count","FIPS Code","state","Year","Month","Population","LaborForce","LaborForce_prct","Employed","Employed_prct","Unemployed","Unemployed_prct","ElectionYear","st_cd_fips","party","winner_party","president_party","Uncontested","CandidateName","Status","pv2p","party_wins","party_support","MidtermYear","term","prev","Unc_prev","approval_cent","same_party"
"11",19558,1,"Alabama",2006,10,3534233,2174902,61.5,2087658,59.1,87244,4,1,"0107","D","D","R",1,"Davis, Artur","Incumbent",100,1,50.0833333333333,1,2,NA,NA,5.48333333333333,0
"12",19559,2,"Alaska",2006,10,492363,350357,71.2,327662,66.5,22695,6.5,1,"0200","R","R","R",0,"Young, Don","Incumbent",58.57,1,37.9821428571429,1,7,NA,NA,-6.61785714285715,1
"13",19559,2,"Alaska",2006,10,492363,350357,71.2,327662,66.5,22695,6.5,1,"0200","D","R","R",0,"Benson, Diane E.","Challenger",41.43,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"14",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0401","R","R","R",0,"Renzi, Richard","Incumbent",54.36,1,37.9821428571429,1,1,NA,NA,-6.61785714285715,1
"15",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0402","R","R","R",0,"Franks, Trent","Incumbent",60.11,1,37.9821428571429,1,6,NA,NA,-6.61785714285715,1
"16",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0403","R","R","R",0,"Shadegg, John","Incumbent",60.79,1,37.9821428571429,1,2,NA,NA,-6.61785714285715,1
"17",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0404","R","D","R",0,"Karg, Don","Challenger",24.81,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"18",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0405","R","D","R",0,"Hayworth, J.D.","Incumbent",47.95,0,37.9821428571429,1,1,NA,NA,-6.61785714285715,1
"19",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0406","R","R","R",1,"Flake, Jeff","Incumbent",100,1,37.9821428571429,1,3,NA,NA,-6.61785714285715,1
"20",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0407","R","D","R",0,"Drake, Ron","Challenger",36.66,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"21",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0408","R","D","R",0,"Graf, Randy","Challenger",43.69,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"22",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0401","D","R","R",0,"Simon, Ellen","Challenger",45.64,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"23",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0402","D","R","R",0,"Thrasher, John","Challenger",39.89,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"24",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0403","D","R","R",0,"Paine, Herb","Challenger",39.21,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"25",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0404","D","D","R",0,"Pastor, Ed","Incumbent",75.19,1,50.0833333333333,1,4,NA,NA,5.48333333333333,0
"26",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0405","D","D","R",0,"Mitchell, Harry","Challenger",52.05,1,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"27",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0407","D","D","R",0,"Grijalva, Ra˙l M.","Incumbent",63.34,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"28",19560,4,"Arizona",2006,10,4672561,3022312,64.7,2900740,62.1,121572,4,1,"0408","D","D","R",0,"Giffords, Gabrielle","Challenger",56.31,1,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"29",19561,5,"Arkansas",2006,10,2150924,1364981,63.5,1293299,60.1,71682,5.3,1,"0501","R","D","R",0,"Stumbaugh, Mickey","Challenger",30.74,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"30",19561,5,"Arkansas",2006,10,2150924,1364981,63.5,1293299,60.1,71682,5.3,1,"0502","R","D","R",0,"Mayberry, Andy","Challenger",39.47,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"31",19561,5,"Arkansas",2006,10,2150924,1364981,63.5,1293299,60.1,71682,5.3,1,"0503","R","R","R",0,"Boozman, John","Incumbent",62.23,1,37.9821428571429,1,2,NA,NA,-6.61785714285715,1
"32",19561,5,"Arkansas",2006,10,2150924,1364981,63.5,1293299,60.1,71682,5.3,1,"0504","R","D","R",0,"Ross, Joe","Challenger",25.27,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"33",19561,5,"Arkansas",2006,10,2150924,1364981,63.5,1293299,60.1,71682,5.3,1,"0501","D","D","R",0,"Berry, Marion","Incumbent",69.26,1,50.0833333333333,1,2,NA,NA,5.48333333333333,0
"34",19561,5,"Arkansas",2006,10,2150924,1364981,63.5,1293299,60.1,71682,5.3,1,"0502","D","D","R",0,"Snyder, Vic","Incumbent",60.53,1,50.0833333333333,1,2,NA,NA,5.48333333333333,0
"35",19561,5,"Arkansas",2006,10,2150924,1364981,63.5,1293299,60.1,71682,5.3,1,"0503","D","R","R",0,"Anderson, Woodrow","Challenger",37.77,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"36",19561,5,"Arkansas",2006,10,2150924,1364981,63.5,1293299,60.1,71682,5.3,1,"0504","D","D","R",0,"Ross, Mike","Incumbent",74.73,1,50.0833333333333,1,3,NA,NA,5.48333333333333,0
"37",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0601","R","D","R",0,"Jones, John W.","Challenger",30.44,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"38",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0602","R","R","R",0,"Herger, Wally","Incumbent",66.41,1,37.9821428571429,1,3,NA,NA,-6.61785714285715,1
"39",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0603","R","R","R",0,"Lungren, Dan","Incumbent",61.12,1,37.9821428571429,1,4,NA,NA,-6.61785714285715,1
"40",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0604","R","R","R",0,"Doolittle, John T.","Incumbent",51.68,1,37.9821428571429,1,1,NA,NA,-6.61785714285715,1
"41",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0605","R","D","R",0,"Yan, Claire","Challenger",24.94,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"42",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0606","R","D","R",0,"Hooper, Todd","Challenger",27.11,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"43",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0608","R","D","R",0,"DeNunzio, Mike","Challenger",11.77,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"44",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0609","R","D","R",0,"Dendulk, John","Challenger",11.05,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"45",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0610","R","D","R",0,"Linn, Darcy","Challenger",33.55,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"46",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0611","R","D","R",0,"Pombo, Richard W.","Incumbent",46.73,0,37.9821428571429,1,1,NA,NA,-6.61785714285715,1
"47",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0612","R","D","R",0,"Moloney, Mike","Challenger",23.95,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"48",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0613","R","D","R",0,"Bruno, George I.","Challenger",25.11,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"49",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0614","R","D","R",0,"Smith, Rob","Challenger",25.41,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"50",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0615","R","D","R",0,"Chuckwu, Raymond L.","Challenger",27.67,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"51",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0616","R","D","R",0,"Winston, Charel","Challenger",27.29,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"52",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0617","R","D","R",0,"De Maio, Anthony R.","Challenger",22.93,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"53",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0618","R","D","R",0,"Kanno, John A.","Challenger",34.52,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"54",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0619","R","R","R",0,"Radanovich, George P.","Incumbent",60.58,1,37.9821428571429,1,2,NA,NA,-6.61785714285715,1
"55",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0621","R","R","R",0,"Nunes, Devin","Incumbent",69.03,1,37.9821428571429,1,7,NA,NA,-6.61785714285715,1
"56",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0622","R","R","R",0,"McCarthy, Kevin","Challenger",70.7,1,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"57",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0623","R","D","R",0,"Tognazzini, Victor D.","Challenger",34.83,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"58",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0624","R","R","R",0,"Gallegly, Elton","Incumbent",62.03,1,37.9821428571429,1,3,NA,NA,-6.61785714285715,1
"59",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0625","R","R","R",0,"McKeon, Howard P.","Incumbent",62.7,1,37.9821428571429,1,4,NA,NA,-6.61785714285715,1
"60",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0626","R","R","R",0,"Dreier, David","Incumbent",60.05,1,37.9821428571429,1,3,NA,NA,-6.61785714285715,1
"61",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0627","R","D","R",0,"Hankwitz, Peter","Challenger",31.23,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"62",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0628","R","D","R",0,"Kesselman, Stanley Kimmel","Challenger",20.53,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"63",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0629","R","D","R",0,"Bodell, William J.","Challenger",30.17,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"64",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0630","R","D","R",0,"Jones, David Nelson","Challenger",26.98,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"65",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0634","R","D","R",0,"Miller, Wayne","Challenger",23.2,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"66",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0636","R","D","R",0,"Gibson, Brian","Challenger",33.5,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"67",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0638","R","D","R",0,"Street, Sidney W.","Challenger",24.67,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"68",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0639","R","D","R",0,"Andion, James L.","Challenger",34.13,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"69",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0640","R","R","R",0,"Royce, Ed","Incumbent",68.51,1,37.9821428571429,1,6,NA,NA,-6.61785714285715,1
"70",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0641","R","R","R",0,"Lewis, Jerry","Incumbent",66.93,1,37.9821428571429,1,3,NA,NA,-6.61785714285715,1
"71",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0642","R","R","R",1,"Miller, Gary G.","Incumbent",100,1,37.9821428571429,1,4,NA,NA,-6.61785714285715,1
"72",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0643","R","D","R",0,"Folkens, Scott","Challenger",35.51,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"73",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0644","R","R","R",0,"Calvert, Ken","Incumbent",61.83,1,37.9821428571429,1,7,NA,NA,-6.61785714285715,1
"74",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0645","R","R","R",0,"Bono Mack, Mary","Incumbent",60.66,1,37.9821428571429,1,4,NA,NA,-6.61785714285715,1
"75",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0646","R","R","R",0,"Rohrabacher, Dana","Incumbent",61.88,1,37.9821428571429,1,7,NA,NA,-6.61785714285715,1
"76",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0647","R","D","R",0,"Nguyen, Tan D.","Challenger",37.67,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"77",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0648","R","R","R",0,"Campbell, John","Challenger",61.68,1,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"78",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0649","R","R","R",0,"Issa, Darrell","Incumbent",65.43,1,37.9821428571429,1,6,NA,NA,-6.61785714285715,1
"79",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0650","R","R","R",0,"Bilbray, Brian P.","Incumbent",54.99,1,37.9821428571429,1,4,NA,NA,-6.61785714285715,1
"80",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0651","R","D","R",0,"Miles, Blake L.","Challenger",30.9,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"81",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0652","R","R","R",0,"Hunter, Duncan L.","Incumbent",66.9,1,37.9821428571429,1,1,NA,NA,-6.61785714285715,1
"82",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0653","R","D","R",0,"Woodrum, John","Challenger",30.75,0,37.9821428571429,1,0,NA,NA,-6.61785714285715,1
"83",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0601","D","D","R",0,"Thompson, Mike","Incumbent",69.56,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"84",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0602","D","R","R",0,"Sekhon, A.J.","Challenger",33.59,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"85",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0603","D","R","R",0,"Durston, Bill","Challenger",38.88,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"86",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0604","D","R","R",0,"Brown, Charlie","Challenger",48.32,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"87",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0605","D","D","R",0,"Matsui, Doris","Incumbent",75.06,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"88",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0606","D","D","R",0,"Woolsey, Lynn","Incumbent",72.89,1,50.0833333333333,1,3,NA,NA,5.48333333333333,0
"89",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0607","D","D","R",1,"Miller, George","Incumbent",100,1,50.0833333333333,1,4,NA,NA,5.48333333333333,0
"90",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0608","D","D","R",0,"Pelosi, Nancy","Incumbent",88.23,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"91",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0609","D","D","R",0,"Lee, Barbara","Incumbent",88.95,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"92",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0610","D","D","R",0,"Tauscher, Ellen O.","Incumbent",66.45,1,50.0833333333333,1,2,NA,NA,5.48333333333333,0
"93",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0611","D","D","R",0,"McNerney, Jerry","Challenger",53.27,1,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"94",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0612","D","D","R",0,"Lantos, Tom","Incumbent",76.05,1,50.0833333333333,1,1,NA,NA,5.48333333333333,0
"95",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0613","D","D","R",0,"Stark, Fortney Pete","Incumbent",74.89,1,50.0833333333333,1,3,NA,NA,5.48333333333333,0
"96",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0614","D","D","R",0,"Eshoo, Anna G.","Incumbent",74.59,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"97",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0615","D","D","R",0,"Honda, Mike M.","Incumbent",72.33,1,50.0833333333333,1,5,NA,NA,5.48333333333333,0
"98",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0616","D","D","R",0,"Lofgren, Zoe","Incumbent",72.71,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"99",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0617","D","D","R",0,"Farr, Sam","Incumbent",77.07,1,50.0833333333333,1,5,NA,NA,5.48333333333333,0
"100",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0618","D","D","R",0,"Cardoza, Dennis","Incumbent",65.48,1,50.0833333333333,1,3,NA,NA,5.48333333333333,0
"101",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0619","D","R","R",0,"Cox, T.J.","Challenger",39.42,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"102",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0620","D","D","R",1,"Costa, Jim","Incumbent",100,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"103",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0621","D","R","R",0,"Haze, Steven","Challenger",30.97,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"104",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0622","D","R","R",0,"Beery, Sharon M.","Challenger",29.3,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"105",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0623","D","D","R",0,"Capps, Lois","Incumbent",65.17,1,50.0833333333333,1,5,NA,NA,5.48333333333333,0
"106",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0624","D","R","R",0,"Martinez, Jill M.","Challenger",37.97,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"107",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0625","D","R","R",0,"Rodriguez, Robert","Challenger",37.3,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"108",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0626","D","R","R",0,"Matthews, Cynthia Rodriguez","Challenger",39.95,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"109",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0627","D","D","R",0,"Sherman, Brad","Incumbent",68.77,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"110",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0628","D","D","R",0,"Berman, Howard L.","Incumbent",79.47,1,50.0833333333333,1,3,NA,NA,5.48333333333333,0
"111",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0629","D","D","R",0,"Schiff, Adam B.","Incumbent",69.83,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"112",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0630","D","D","R",0,"Waxman, Henry A.","Incumbent",73.02,1,50.0833333333333,1,4,NA,NA,5.48333333333333,0
"113",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0631","D","D","R",1,"Becerra, Xavier","Incumbent",100,1,50.0833333333333,1,6,NA,NA,5.48333333333333,0
"114",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0632","D","D","R",1,"Solis, Hilda L.","Incumbent",100,1,50.0833333333333,1,2,NA,NA,5.48333333333333,0
"115",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0633","D","D","R",1,"Watson, Diane Edith","Incumbent",100,1,50.0833333333333,1,2,NA,NA,5.48333333333333,0
"116",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0634","D","D","R",0,"Roybal-Allard, Lucille","Incumbent",76.8,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"117",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0635","D","D","R",1,"Waters, Maxine","Incumbent",100,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"118",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0636","D","D","R",0,"Harman, Jane","Incumbent",66.5,1,50.0833333333333,1,3,NA,NA,5.48333333333333,0
"119",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0637","D","D","R",1,"Millender-McDonald, Juanita","Incumbent",100,1,50.0833333333333,1,1,NA,NA,5.48333333333333,0
"120",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0638","D","D","R",0,"Napolitano, Grace Flores","Incumbent",75.33,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"121",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0639","D","D","R",0,"Sanchez, Linda","Incumbent",65.87,1,50.0833333333333,1,7,NA,NA,5.48333333333333,0
"122",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0640","D","R","R",0,"Hoffman, Florice Orea","Challenger",31.49,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"123",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0641","D","R","R",0,"Contreras, Louie A.","Challenger",33.07,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"124",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0643","D","D","R",0,"Baca, Joe","Incumbent",64.49,1,50.0833333333333,1,3,NA,NA,5.48333333333333,0
"125",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0644","D","R","R",0,"Vandenberg, Louis","Challenger",38.17,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
"126",19562,6,"California",2006,10,27078759,17732943,65.5,16872699,62.3,860244,4.9,1,"0645","D","R","R",0,"Roth, David","Challenger",39.34,0,50.0833333333333,1,0,NA,NA,5.48333333333333,0
